id,director,winning status
0,Barry Levinson,Yes
1,Charles Crichton,No
2,Mike Nichols,No
3,Alan Parker,No
4,Martin Scorsese,No
5,Oliver Stone,Yes
6,Woody Allen,No
7,Kenneth Branagh,No
8,Jim Sheridan,No
9,Peter Weir,No
10,1990s,No
11,Kevin Costner,Yes
12,Francis Ford Coppola,No
13,Stephen Frears,No
14,Barbet Schroeder,No
15,Martin Scorsese,No
16,Jonathan Demme,Yes
17,Barry Levinson,No
18,Ridley Scott,No
19,John Singleton,No
20,Oliver Stone,No
21,Clint Eastwood,Yes
22,Robert Altman,No
23,Martin Brest,No
24,James Ivory,No
25,Neil Jordan,No
26,Steven Spielberg,Yes
27,Robert Altman,No
28,Jane Campion,No
29,James Ivory,No
30,Jim Sheridan,No
31,Robert Zemeckis,Yes
32,Woody Allen,No
33,Krzysztof KieÅ›lowski,No
34,Robert Redford,No
35,Quentin Tarantino,No
36,Mel Gibson,Yes
37,Mike Figgis,No
38,Chris Noonan,No
39,Michael Radford,No
40,Tim Robbins,No
41,Anthony Minghella,Yes
42,Joel Coen,No
43,MiloÅ¡ Forman,No
44,Scott Hicks,No
45,Mike Leigh,No
46,James Cameron,Yes
47,Peter Cattaneo,No
48,Atom Egoyan,No
49,Curtis Hanson,No
50,Gus Van Sant,No
51,Steven Spielberg,Yes
52,Roberto Benigni,No
53,John Madden,No
54,Terrence Malick,No
55,Peter Weir,No
56,Sam Mendes,Yes
57,Lasse HallstrÃ¶m,No
58,Spike Jonze,No
59,Michael Mann,No
60,M. Night Shyamalan,No
61,2000s,No
62,Steven Soderbergh,No
63,Stephen Daldry,No
64,Ang Lee,No
65,Ridley Scott,No
66,Steven Soderbergh,Yes
67,Ron Howard,Yes
68,Robert Altman,No
69,Peter Jackson,No
70,David Lynch,No
71,Ridley Scott,No
72,Roman Polanski,Yes
73,Pedro AlmodÃ³var,No
74,Stephen Daldry,No
75,Rob Marshall,No
76,Martin Scorsese,No
77,Peter Jackson,Yes
78,Sofia Coppola,No
79,Clint Eastwood,No
80,Fernando Meirelles,No
81,Peter Weir,No
82,Clint Eastwood,Yes
83,Taylor Hackford,No
84,Mike Leigh,No
85,Alexander Payne,No
86,Martin Scorsese,No
87,Ang Lee,Yes
88,George Clooney,No
89,Paul Haggis,No
90,Bennett Miller,No
91,Steven Spielberg,No
92,Martin Scorsese,Yes
93,Clint Eastwood,No
94,Stephen Frears,No
95,Paul Greengrass,No
96,Alejandro G. IÃ±Ã¡rritu,No
97,Coen Brothers,Yes
98,Paul Thomas Anderson,No
99,Tony Gilroy,No
100,Jason Reitman,No
101,Julian Schnabel,No
102,Danny Boyle,Yes
103,Stephen Daldry,No
104,David Fincher,No
105,Ron Howard,No
106,Gus Van Sant,No
107,Kathryn Bigelow,Yes
108,James Cameron,No
109,Lee Daniels,No
110,Jason Reitman,No
111,Quentin Tarantino,No
112,2010s,No
113,Tom Hooper,Yes
114,Darren Aronofsky,No
115,Coen Brothers,No
116,David Fincher,No
117,David O. Russell,No
118,Michel Hazanavicius,Yes
119,Woody Allen,No
120,Terrence Malick,No
121,Alexander Payne,No
122,Martin Scorsese,No
123,Ang Lee,Yes
124,Michael Haneke,No
125,David O. Russell,No
126,Steven Spielberg,No
127,Benh Zeitlin,No
128,Alfonso CuarÃ³n,Yes
129,Steve McQueen,No
130,Alexander Payne,No
131,David O. Russell,No
132,Martin Scorsese,No
133,Alejandro G. IÃ±Ã¡rritu,Yes
134,Wes Anderson,No
135,Richard Linklater,No
136,Bennett Miller,No
137,Morten Tyldum,No
138,Alejandro G. IÃ±Ã¡rritu,Yes
139,Lenny Abrahamson,No
140,Tom McCarthy,No
141,Adam McKay,No
142,George Miller,No
143,Damien Chazelle,Yes
144,Mel Gibson,No
145,Barry Jenkins,No
146,Kenneth Lonergan,No
147,Denis Villeneuve,No
148,Guillermo del Toro,Yes
149,Paul Thomas Anderson,No
150,Greta Gerwig,No
151,Christopher Nolan,No
152,Jordan Peele,No
153,Alfonso CuarÃ³n,Yes
154,Yorgos Lanthimos,No
155,Spike Lee,No
156,Adam McKay,No
157,PaweÅ‚ Pawlikowski,No
