id,actor,winning status
0,Dustin Hoffman,Yes
1,Gene Hackman,No
2,Tom Hanks,No
3,Edward James Olmos,No
4,Max von Sydow,No
5,Daniel Day Lewis,Yes
6,Kenneth Branagh,No
7,Tom Cruise,No
8,Morgan Freeman,No
9,Robin Williams,No
10,Jeremy Irons,Yes
11,Kevin Costner,No
12,Robert De Niro,No
13,Garard Depardieu,No
14,Richard Harris,No
15,Anthony Hopkins,Yes
16,Warren Beatty,No
17,Robert De Niro,No
18,Nick Nolte,No
19,Robin Williams,No
20,Al Pacino,Yes
21,Robert Downey Jr,No
22,Clint Eastwood,No
23,Stephen Rea,No
24,Denzel Washington,No
25,Tom Hanks,Yes
26,Daniel Day Lewis,No
27,Laurence Fishburne,No
28,Anthony Hopkins,No
29,Liam Neeson,No
30,Tom Hanks,No
31,Morgan Freeman,No
32,Nigel Hawthorne,No
33,Paul Newman,No
34,John Travolta,No
35,Nicolas Cage,Yes
36,Richard Dreyfuss,No
37,Anthony Hopkins,No
38,Sean Penn,No
39,Massimo Troisi,No
40,Geoffrey Rush,Yes
41,Tom Cruise,No
42,Ralph Fiennes,No
43,Woody Harrelson,No
44,Billy Bob Thornton,No
45,Jack Nicholson,Yes
46,Matt Damon,No
47,Robert Duvall,No
48,Peter Fonda,No
49,Dustin Hoffman,No
50,Roberto Benigni,Yes
51,Tom Hanks,No
52,Ian McKellen,No
53,Nick Nolte,No
54,Edward Norton,No
55,Kevin Spacey,Yes
56,Russell Crowe,Yes
57,Richard Farnsworth,No
58,Sean Penn,No
59,Denzel Washington,Yes
60,Russell Crowe,No
61,Javier Bardem,No
62,Tom Hanks,No
63,Ed Harris,No
64,Geoffrey Rush,No
65,Denzel Washington,No
66,Russell Crowe,No
67,Sean Penn,No
68,Will Smith,No
69,Tom Wilkinson,No
70,Adrien Brody,Yes
71,Nicolas Cage,No
72,Michael Caine,No
73,Daniel Day Lewis,No
74,Jack Nicholson,No
75,Sean Penn,Yes
76,Johnny Depp,No
77,Ben Kingsley,No
78,Jude Law,No
79,Bill Murray,No
80,Jamie Foxx,Yes
81,Don Cheadle,No
82,Johnny Depp,No
83,Leonardo DiCaprio,No
84,Clint Eastwood,No
85,Philip Seymour Hoffman,Yes
86,Terrence Howard,No
87,Heath Ledger,No
88,Joaquin Phoenix,No
89,David Strathairn,No
90,Forest Whitaker,Yes
91,Leonardo DiCaprio,No
92,Ryan Gosling,No
93,Peter O Toole,No
94,Will Smith,No
95,Daniel Day Lewis,Yes
96,George Clooney,No
97,Johnny Depp,No
98,Tommy Lee Jones,No
99,Viggo Mortensen,No
100,Sean Penn,Yes
101,Richard Jenkins,No
102,Frank Langella,No
103,Brad Pitt,No
104,Mickey Rourke,No
105,Jeff Bridges,Yes
106,George Clooney,No
107,Colin Firth,Yes
108,Morgan Freeman,No
109,Jeremy Renner,No
110,Colin Firth,No
111,Javier Bardem,No
112,Jeff Bridges,No
113,Jesse Eisenberg,No
114,James Franco,No
115,Jean Dujardin,Yes
116,Demiain Bichir,No
117,George Clooney,No
118,Gary Oldman,No
119,Brad Pitt,No
120,Daniel Day Lewis,Yes
121,Bradley Cooper,No
122,Hugh Jackman,No
123,Joaquin Phoenix,No
124,Denzel Washington,No
125,Matthew McConaughey,Yes
126,Christian Bale,No
127,Bruce Dern,No
128,Leonardo DiCaprio,No
129,Chiwetel Ejiofor,No
130,Eddie Redmayne,Yes
131,Steve Carell,No
132,Bradley Cooper,No
133,Benedict Cumberbatch,No
134,Michael Keaton,No
135,Leonardo DiCaprio,Yes
136,Bryan Cranston,No
137,Matt Damon,No
138,Michael Fassbender,No
139,Eddie Redmayne,No
140,Casey Affleck,Yes
141,Andrew Garfield,No
142,Ryan Gosling,No
143,Viggo Mortensen,No
144,Denzel Washington,No
145,Gary Oldman,Yes
146,Timothae Chalamet,No
147,Daniel Day Lewis,No
148,Daniel Kaluuya,No
149,Denzel Washington,No
150,Rami Malek,Yes
151,Christian Bale,No
152,Bradley Cooper,No
153,Willem Dafoe,No
154,Viggo Mortensen,No
