movie,year,genre,movie rating,metascore,votes,duration,gross,director,casts
Green Book,2018,"Biography, Comedy, Drama",8.2,69,243113,130,85.08,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
The Shape of Water,2017,"Adventure, Drama, Fantasy",7.3,87,320870,123,63.86,Guillermo del Toro,"lly Hawkins, Octavia Spencer, Michael Shannon, Doug Jones"
Moonlight,2016,Drama,7.4,99,235296,111,27.85,Barry Jenkins,"Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert"
Spotlight,2015,"Biography, Crime, Drama",8.1,93,374281,129,45.06,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber"
Birdman or The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",7.7,87,529438,119,42.34,Alejandro G. Iñárritu,"Michael Keaton, Zach Galifianakis, Edward Norton, Andrea Riseborough"
12 Years a Slave,2013,"Biography, Drama, History",8.1,96,586912,134,56.67,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt"
Argo,2012,"Biography, Drama, Thriller",7.7,86,541044,120,136.03,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin"
The Artist,2011,"Comedy, Drama, Romance",7.9,89,218968,100,44.67,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell"
The King's Speech,2010,"Biography, Drama, History",8.0,88,601021,118,138.80,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi"
Slumdog Millionaire,2008,"Drama, Romance",8.0,86,755389,120,141.32,"sDanny Boyle, Loveleen Tandan","Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor"
The Hurt Locker,2008,"Drama, Thriller, War",7.6,94,397340,131,17.02,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce"
No Country for Old Men,2007,"Crime, Drama, Thriller",8.1,91,779966,122,74.28,"sEthan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
The Departed,2006,"Crime, Drama, Thriller",8.5,85,1094618,151,132.38,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
Million Dollar Baby,2004,"Drama, Sport",8.1,86,593974,132,100.49,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel"
Crash,2004,"Crime, Drama, Thriller",7.8,69,403495,112,54.58,Paul Haggis,"Don Cheadle, Sandra Bullock, Thandie Newton, Karina Arroyave"
The Lord of the Rings The Return of the King,2003,"Adventure, Drama, Fantasy",8.9,94,1520270,201,377.85,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
Chicago,2002,"Comedy, Crime, Musical",7.1,82,203460,113,170.69,Rob Marshall,"Renée Zellweger, Catherine Zeta-Jones, Richard Gere, Taye Diggs"
A Beautiful d,2001,"Biography, Drama",8.2,72,783507,135,170.74,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"
Gladiator,2000,"Action, Adventure, Drama",8.5,67,1234131,155,187.71,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
American Beauty,1999,Drama,8.3,86,1002859,122,130.10,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
Shakespeare in Love,1998,"Comedy, Drama, History",7.1,87,203276,123,100.32,John Madden,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush, Tom Wilkinson"
Titanic,1997,"Drama, Romance",7.8,75,973416,194,659.33,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
The English Patient,1996,"Drama, Romance, War",7.4,87,167849,162,78.65,Anthony ghella,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas"
Braveheart,1995,"Biography, Drama, History",8.3,68,902968,178,75.60,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
