,films
0,The Way of All Flesh
1,The Noose
2,The Patent Leather Kid
3,In Old Arizona
4,Thunderbolt
5,Alibi
6,The Valiant
7,The Patriot
8,Disraeli
9,The Green Goddess
10,The Big House
11,The Big Pond
12,The Love Parade
13,Bulldog Drummond
14,Condemned
15,The Rogue Song
16,A Free Soul
17,Skippy
18,Cimarron
19,The Royal Family of Broadway
20,The Front Page
21,The Champ
22,Dr. Jekyll and Mr. Hyde
23,The Guardsman
24,The Private Life of Henry VIII
25,Berkeley Square
26,I Am a Fugitive from a Chain Gang
27,It Happened One Night
28,The Affairs of Cellini
29,The Thin Man
30,The Informer
31,Mutiny on the Bounty
32,Black Fury
33,Mutiny on the Bounty
34,The Story of Louis Pasteur
35,Mr. Deeds Goes to Town
36,Dodsworth
37,My Man Godfrey
38,San Francisco
39,Captains Courageous
40,Conquest
41,A Star Is Born
42,Night Must Fall
43,The Life of Emile Zola
44,Boys Town
45,Algiers
46,Angels with Dirty Faces
47,The Citadel
48,Pygmalion
49,"Goodbye, Mr. Chips"
50,Gone with the Wind
51,Wuthering Heights
52,Babes in Arms
53,Mr. Smith Goes to Washington
54,The Philadelphia Story
55,The Great Dictator
56,The Grapes of Wrath
57,Abe Lincoln in Illinois
58,Rebecca
59,Sergeant York
60,Penny Serenade
61,The Devil and Daniel Webster
62,Here Comes Mr. Jordan
63,Citizen Kane
64,Yankee Doodle Dandy
65,Random Harvest
66,The Pride of the Yankees
67,Mrs. Miniver
68,The Pied Piper
69,Watch on the Rhine
70,Casablanca
71,For Whom the Bell Tolls
72,Madame Curie
73,The Human Comedy
74,Going My Way
75,Gaslight
76,Going My Way
77,None but the Lonely Heart
78,Wilson
79,The Lost Weekend
80,The Bells of St. Mary's
81,Anchors Aweigh
82,The Keys of the Kingdom
83,A Song to Remember
84,The Best Years of Our Lives
85,Henry V
86,The Jolson Story
87,The Yearling
88,It's a Wonderful Life
89,A Double Life
90,Body and Soul
91,Gentleman's Agreement
92,Life with Father
93,Mourning Becomes Electra
94,Hamlet
95,Johnny Belinda
96,The Search
97,When My Baby Smiles at Me
98,Sitting Pretty
99,All the King's Men
100,Champion
101,Twelve O'Clock High
102,The Hasty Heart
103,Sands of Iwo Jima
104,Cyrano de Bergerac
105,The Magnificent Yankee
106,Sunset Boulevard
107,Harvey
108,Father of the Bride
109,The African Queen
110,A Streetcar Named Desire
111,A Place in the Sun
112,Bright Victory
113,Death of a Salesman
114,High Noon
115,Viva Zapata!
116,The Bad and the Beautiful
117,Moulin Rouge
118,The Lavender Hill Mob
119,Stalag 17
120,Julius Caesar
121,The Robe
122,From Here to Eternity
123,On the Waterfront
124,The Caine Mutiny
125,The Country Girl
126,A Star Is Born
127,Robinson Crusoe
128,Marty
129,Love Me or Leave Me
130,East of Eden
131,The Man with the Golden Arm
132,Bad Day at Black Rock
133,The King and I
134,Giant
135,Lust for Life
136,Giant
137,Richard III
138,The Bridge on the River Kwai
139,Sayonara
140,A Hatful of Rain
141,Witness for the Prosecution
142,Wild Is the Wind
143,Separate Tables
144,The Defiant Ones
145,Cat on a Hot Tin Roof
146,The Defiant Ones
147,The Old Man and the Sea
148,Ben-Hur
149,Room at the Top
150,Some Like It Hot
151,The Last Angry Man
152,Anatomy of a Murder
153,Elmer Gantry
154,Sons and Lovers
155,The Apartment
156,The Entertainer
157,Inherit the Wind
158,Judgment at Nuremberg
159,Fanny
