,actor
0,Emil Jannings
1,Richard Barthelmess
2,Warner Baxter
3,George Bancroft
4,Chester Morris
5,Paul Muni
6,Lewis Stone
7,George Arliss
8,George Arliss
9,Wallace Beery
10,Maurice Chevalier
11,Ronald Colman
12,Lawrence Tibbett
13,Lionel Barrymore
14,Jackie Cooper
15,Richard Dix
16,Fredric March
17,Adolphe Menjou
18,Wallace Beery
19,Fredric March
20,Alfred Lunt
21,Charles Laughton
22,Leslie Howard
23,Paul Muni
24,Clark Gable
25,Frank Morgan
26,William Powell
27,Victor McLaglen
28,Clark Gable
29,Charles Laughton
30,Paul Muni
31,Franchot Tone
32,Paul Muni
33,Gary Cooper
34,Walter Huston
35,William Powell
36,Spencer Tracy
37,Spencer Tracy
38,Charles Boyer
39,Fredric March
40,Robert Montgomery
41,Paul Muni
42,Spencer Tracy
43,Charles Boyer
44,James Cagney
45,Robert Donat
46,Leslie Howard
47,Robert Donat
48,Clark Gable
49,Laurence Olivier
50,Mickey Rooney
51,James Stewart
52,James Stewart
53,Charlie Chaplin
54,Henry Fonda
55,Raymond Massey
56,Laurence Olivier
57,Gary Cooper
58,Cary Grant
59,Walter Huston
60,Robert Montgomery
61,Orson Welles
62,James Cagney
63,Ronald Colman
64,Gary Cooper
65,Walter Pidgeon
66,Monty Woolley
67,Paul Lukas
68,Humphrey Bogart
69,Gary Cooper
70,Walter Pidgeon
71,Mickey Rooney
72,Bing Crosby
73,Charles Boyer
74,Barry Fitzgerald
75,Cary Grant
76,Alexander Knox
77,Ray Milland
78,Bing Crosby
79,Gene Kelly
80,Gregory Peck
81,Cornel Wilde
82,Fredric March
83,Laurence Olivier
84,Larry Parks
85,Gregory Peck
86,James Stewart
87,Ronald Colman
88,John Garfield
89,Gregory Peck
90,William Powell
91,Michael Redgrave
92,Laurence Olivier
93,Lew Ayres
94,Montgomery Clift
95,Dan Dailey
96,Clifton Webb
97,Broderick Crawford
98,Kirk Douglas
99,Gregory Peck
100,Richard Todd
101,John Wayne
102,José Ferrer
103,Louis Calhern
104,William Holden
105,James Stewart
106,Spencer Tracy
107,Humphrey Bogart
108,Marlon Brando
109,Montgomery Clift
110,Arthur Kennedy
111,Fredric March
112,Gary Cooper
113,Marlon Brando
114,Kirk Douglas
115,José Ferrer
116,Alec Guinness
117,William Holden
118,Marlon Brando
119,Richard Burton
120,Montgomery Clift
121,Burt Lancaster
122,Marlon Brando
123,Humphrey Bogart
124,Bing Crosby
125,James Mason
126,Dan O'Herlihy
127,Ernest Borgnine
128,James Cagney
129,James Dean
130,Frank Sinatra
131,Spencer Tracy
132,Yul Brynner
133,James Dean
134,Kirk Douglas
135,Rock Hudson
136,Laurence Olivier
137,Alec Guinness
138,Marlon Brando
139,Anthony Franciosa
140,Charles Laughton
141,Anthony Quinn
142,David Niven
143,Tony Curtis
144,Paul Newman
145,Sidney Poitier
146,Spencer Tracy
147,Charlton Heston
148,Laurence Harvey
149,Jack Lemmon
150,Paul Muni
151,James Stewart
152,Burt Lancaster
153,Trevor Howard
154,Jack Lemmon
155,Laurence Olivier
156,Spencer Tracy
157,Maximilian Schell
158,Charles Boyer
159,Paul Newman
160,Spencer Tracy
161,Stuart Whitman
162,Gregory Peck
163,Burt Lancaster
164,Jack Lemmon
165,Marcello Mastroianni
166,Peter O'Toole
167,Sidney Poitier
168,Albert Finney
169,Richard Harris
170,Rex Harrison
171,Paul Newman
172,Rex Harrison
173,Richard Burton
174,Peter O'Toole
175,Anthony Quinn
176,Peter Sellers
177,Lee Marvin
178,Richard Burton
179,Laurence Olivier
180,Rod Steiger
181,Oskar Werner
182,Paul Scofield
183,Alan Arkin
184,Richard Burton
185,Michael Caine
