,films
0,Street Angel
1,Sunrise: A Song of Two Humans
2,A Ship Comes In
3,Sadie Thompson
4,Coquette
5,Madame X
6,The Barker
7,The Letter
8,The Divine Lady
9,The Broadway Melody
10,The Divorcee
11,The Devil's Holiday
12,Sarah and Son
13,Anna Christie
14,Romance
15,Their Own Desire
16,The Trespasser
17,Min and Bill
18,Morocco
19,Cimarron
20,Holiday
21,A Free Soul
22,The Sin of Madelon Claudet
23,Emma
24,The Guardsman
25,Morning Glory
26,Lady for a Day
27,Cavalcade
28,It Happened One Night
29,One Night of Love
30,The Barretts of Wimpole Street
31,Of Human Bondage
32,Dangerous
33,Escape Me Never
34,Private Worlds
35,Alice Adams
36,Becky Sharp
37,The Dark Angel
38,The Great Ziegfeld
39,Theodora Goes Wild
40,Valiant Is the Word for Carrie
41,My Man Godfrey
42,Romeo and Juliet
43,The Good Earth
44,The Awful Truth
45,Camille
46,A Star Is Born
47,Stella Dallas
48,Jezebel
49,White Banners
50,Pygmalion
51,Marie Antoinette
52,Three Comrades
53,Gone with the Wind
54,Dark Victory
55,Love Affair
56,Ninotchka
57,"Goodbye, Mr. Chips"
58,Kitty Foyle
59,The Letter
60,Rebecca
61,The Philadelphia Story
62,Our Town
63,Suspicion
64,The Little Foxes
65,Hold Back the Dawn
66,Blossoms in the Dust
67,Ball of Fire
68,Mrs. Miniver
69,"Now, Voyager"
70,Woman of the Year
71,My Sister Eileen
72,The Pride of the Yankees
73,The Song of Bernadette
74,The More the Merrier
75,For Whom the Bell Tolls
76,The Constant Nymph
77,Madame Curie
78,Gaslight
79,Since You Went Away
80,Mr. Skeffington
81,Mrs. Parkington
82,Double Indemnity
83,Mildred Pierce
84,The Bells of St. Mary's
85,The Valley of Decision
86,Love Letters
87,Leave Her to Heaven
88,To Each His Own
89,Brief Encounter
90,Duel in the Sun
91,Sister Kenny
92,The Yearling
93,The Farmer's Daughter
94,Possessed
95,"Smash-Up, the Story of a Woman"
96,Gentleman's Agreement
97,Mourning Becomes Electra
98,Johnny Belinda
99,Joan of Arc
100,The Snake Pit
101,I Remember Mama
102,"Sorry, Wrong Number"
103,The Heiress
104,Pinky
105,My Foolish Heart
106,"Edward, My Son"
107,Come to the Stable
108,Born Yesterday
109,All About Eve
110,Caged
111,Sunset Boulevard
112,A Streetcar Named Desire
113,The African Queen
114,Detective Story
115,A Place in the Sun
116,The Blue Veil
117,"Come Back, Little Sheba"
118,Sudden Fear
119,The Star
120,The Member of the Wedding
121,With a Song in My Heart
122,Roman Holiday
123,Lili
124,Mogambo
125,From Here to Eternity
126,The Moon Is Blue
127,The Country Girl
128,Carmen Jones
129,A Star Is Born
130,Sabrina
131,Magnificent Obsession
132,The Rose Tattoo
133,I'll Cry Tomorrow
134,Summertime
135,Love is a Many-Splendored Thing
136,Interrupted Melody
137,Anastasia
138,Baby Doll
139,The Rainmaker
140,The Bad Seed
141,The King and I
142,The Three Faces of Eve
143,"Heaven Knows, Mr. Allison"
