,actress
0,Janet Gaynor
1,Louise Dresser
2,Gloria Swanson
3,Mary Pickford
4,Ruth Chatterton
5,Betty Compson
6,Jeanne Eagels
7,Corinne Griffith
8,Bessie Love
9,Norma Shearer
10,Nancy Carroll
11,Ruth Chatterton
12,Greta Garbo
13,Norma Shearer
14,Gloria Swanson
15,Marie Dressler
16,Marlene Dietrich
17,Irene Dunne
18,Ann Harding
19,Norma Shearer
20,Helen Hayes
21,Marie Dressler
22,Lynn Fontanne
23,Katharine Hepburn
24,May Robson
25,Diana Wynyard
26,Claudette Colbert
27,Grace Moore
28,Norma Shearer
29,Bette Davis
30,Bette Davis
31,Elisabeth Bergner
32,Claudette Colbert
33,Katharine Hepburn
34,Miriam Hopkins
35,Merle Oberon
36,Luise Rainer
37,Irene Dunne
38,Gladys George
39,Carole Lombard
40,Norma Shearer
41,Luise Rainer
42,Irene Dunne
43,Greta Garbo
44,Janet Gaynor
45,Barbara Stanwyck
46,Bette Davis
47,Fay Bainter
48,Wendy Hiller
49,Norma Shearer
50,Margaret Sullavan
51,Vivien Leigh
52,Bette Davis
53,Irene Dunne
54,Greta Garbo
55,Greer Garson
56,Ginger Rogers
57,Bette Davis
58,Joan Fontaine
59,Katharine Hepburn
60,Martha Scott
61,Joan Fontaine
62,Bette Davis
63,Olivia de Havilland
64,Greer Garson
65,Barbara Stanwyck
66,Greer Garson
67,Bette Davis
68,Katharine Hepburn
69,Rosalind Russell
70,Teresa Wright
71,Jennifer Jones
72,Jean Arthur
73,Ingrid Bergman
74,Joan Fontaine
75,Greer Garson
76,Ingrid Bergman
77,Claudette Colbert
78,Bette Davis
79,Greer Garson
80,Barbara Stanwyck
81,Joan Crawford
82,Ingrid Bergman
83,Greer Garson
84,Jennifer Jones
85,Gene Tierney
86,Olivia de Havilland
87,Celia Johnson
88,Jennifer Jones
89,Rosalind Russell
90,Jane Wyman
91,Loretta Young
92,Joan Crawford
93,Susan Hayward
94,Dorothy McGuire
95,Rosalind Russell
96,Jane Wyman
97,Ingrid Bergman
98,Olivia de Havilland
99,Irene Dunne
100,Barbara Stanwyck
101,Olivia de Havilland
102,Jeanne Crain
103,Susan Hayward
104,Deborah Kerr
105,Loretta Young
106,Judy Holliday
107,Anne Baxter
108,Bette Davis
109,Eleanor Parker
110,Gloria Swanson
111,Vivien Leigh
112,Katharine Hepburn
113,Eleanor Parker
114,Shelley Winters
115,Jane Wyman
116,Shirley Booth
117,Joan Crawford
118,Bette Davis
119,Julie Harris
120,Susan Hayward
121,Audrey Hepburn
122,Leslie Caron
123,Ava Gardner
124,Deborah Kerr
125,Maggie McNamara
126,Grace Kelly
127,Dorothy Dandridge
128,Judy Garland
129,Audrey Hepburn
130,Jane Wyman
131,Anna Magnani
132,Susan Hayward
133,Katharine Hepburn
134,Jennifer Jones
135,Eleanor Parker
136,Ingrid Bergman
137,Carroll Baker
138,Katharine Hepburn
139,Nancy Kelly
140,Deborah Kerr
141,Joanne Woodward
142,Deborah Kerr
143,Anna Magnani
144,Elizabeth Taylor
145,Lana Turner
146,Susan Hayward
147,Deborah Kerr
148,Shirley MacLaine
149,Rosalind Russell
150,Elizabeth Taylor
151,Simone Signoret
152,Doris Day
153,Audrey Hepburn
154,Katharine Hepburn
155,Elizabeth Taylor
156,Elizabeth Taylor
157,Greer Garson
158,Deborah Kerr
159,Shirley MacLaine
160,Melina Mercouri
161,Sophia Loren
162,Audrey Hepburn
163,Piper Laurie
164,Geraldine Page
165,Natalie Wood
166,Anne Bancroft
167,Bette Davis
168,Katharine Hepburn
169,Geraldine Page
170,Lee Remick
171,Patricia Neal
172,Leslie Caron
173,Shirley MacLaine
174,Rachel Roberts
175,Natalie Wood
176,Julie Andrews
177,Anne Bancroft
178,Sophia Loren
179,Debbie Reynolds
180,Kim Stanley
181,Julie Christie
182,Julie Andrews
183,Samantha Eggar
184,Elizabeth Hartman
185,Simone Signoret
186,Elizabeth Taylor
187,Anouk Aimée
188,Ida Kamińska
189,Lynn Redgrave
190,Vanessa Redgrave
191,Katharine Hepburn
192,Anne Bancroft
193,Faye Dunaway
194,Edith Evans
195,Audrey Hepburn
196,Katharine Hepburn
197,Barbra Streisand
198,Patricia Neal
199,Vanessa Redgrave
200,Joanne Woodward
201,Maggie Smith
202,Geneviève Bujold
203,Jane Fonda
204,Liza Minnelli
205,Jean Simmons
206,Glenda Jackson
207,Jane Alexander
208,Ali MacGraw
209,Sarah Miles
210,Carrie Snodgress
211,Jane Fonda
212,Julie Christie
213,Glenda Jackson
214,Vanessa Redgrave
215,Janet Suzman
216,Liza Minnelli
217,Diana Ross
218,Maggie Smith
219,Cicely Tyson
220,Liv Ullmann
221,Glenda Jackson
222,Ellen Burstyn
223,Marsha Mason
224,Barbra Streisand
225,Joanne Woodward
226,Ellen Burstyn
227,Diahann Carroll
228,Faye Dunaway
229,Valerie Perrine
230,Gena Rowlands
231,Louise Fletcher
232,Isabelle Adjani
233,Ann-Margret
234,Glenda Jackson
235,Carol Kane
236,Faye Dunaway
237,Marie-Christine Barrault
238,Talia Shire
239,Sissy Spacek
240,Liv Ullmann
241,Diane Keaton
242,Anne Bancroft
243,Jane Fonda
244,Shirley MacLaine
245,Marsha Mason
246,Jane Fonda
247,Ingrid Bergman
248,Ellen Burstyn
249,Jill Clayburgh
250,Geraldine Page
251,Sally Field
252,Jill Clayburgh
253,Jane Fonda
254,Marsha Mason
255,Bette Midler
256,Sissy Spacek
257,Ellen Burstyn
258,Goldie Hawn
259,Mary Tyler Moore
260,Gena Rowlands
261,Katharine Hepburn
262,Diane Keaton
263,Marsha Mason
264,Susan Sarandon
265,Meryl Streep
266,Meryl Streep
267,Julie Andrews
268,Jessica Lange
269,Sissy Spacek
270,Debra Winger
271,Shirley MacLaine
272,Jane Alexander
273,Meryl Streep
274,Julie Walters
275,Debra Winger
276,Sally Field
277,Judy Davis
278,Jessica Lange
279,Vanessa Redgrave
280,Sissy Spacek
281,Geraldine Page
282,Anne Bancroft
283,Whoopi Goldberg
284,Jessica Lange
285,Meryl Streep
286,Marlee Matlin
287,Jane Fonda
288,Sissy Spacek
289,Kathleen Turner
290,Sigourney Weaver
291,Cher
292,Glenn Close
293,Holly Hunter
294,Sally Kirkland
295,Meryl Streep
296,Jodie Foster
297,Glenn Close
298,Melanie Griffith
299,Meryl Streep
300,Sigourney Weaver
301,Jessica Tandy
302,Isabelle Adjani
303,Pauline Collins
304,Jessica Lange
305,Michelle Pfeiffer
306,Kathy Bates
307,Anjelica Huston
308,Julia Roberts
309,Meryl Streep
310,Joanne Woodward
311,Jodie Foster
312,Geena Davis
313,Laura Dern
314,Bette Midler
315,Susan Sarandon
316,Emma Thompson
317,Catherine Deneuve
318,Mary McDonnell
319,Michelle Pfeiffer
320,Susan Sarandon
321,Holly Hunter
322,Angela Bassett
323,Stockard Channing
324,Emma Thompson
325,Debra Winger
326,Jessica Lange
327,Jodie Foster
328,Miranda Richardson
329,Winona Ryder
330,Susan Sarandon
331,Susan Sarandon
332,Elisabeth Shue
333,Sharon Stone
334,Meryl Streep
335,Emma Thompson
336,Frances McDormand
337,Brenda Blethyn
338,Diane Keaton
339,Kristin Scott Thomas
340,Emily Watson
341,Helen Hunt
342,Helena Bonham Carter
343,Julie Christie
344,Judi Dench
345,Kate Winslet
346,Gwyneth Paltrow
347,Cate Blanchett
348,Fernanda Montenegro
349,Meryl Streep
350,Emily Watson
351,Hilary Swank
352,Annette Bening
353,Janet McTeer
354,Julianne Moore
355,Meryl Streep
356,Julia Roberts
357,Joan Allen
358,Juliette Binoche
359,Ellen Burstyn
360,Laura Linney
361,Halle Berry
362,Judi Dench
363,Nicole Kidman
364,Sissy Spacek
365,Renée Zellweger
366,Nicole Kidman
367,Salma Hayek
368,Diane Lane
369,Julianne Moore
370,Renée Zellweger
371,Charlize Theron
372,Keisha Castle-Hughes
373,Diane Keaton
374,Samantha Morton
375,Naomi Watts
376,Hilary Swank
377,Annette Bening
378,Catalina Sandino Moreno
379,Imelda Staunton
380,Kate Winslet
381,Reese Witherspoon
382,Judi Dench
383,Felicity Huffman
384,Keira Knightley
385,Charlize Theron
386,Helen Mirren
387,Penélope Cruz
388,Judi Dench
389,Meryl Streep
390,Kate Winslet
391,Marion Cotillard
392,Cate Blanchett
393,Julie Christie
394,Laura Linney
395,Ellen Page
396,Kate Winslet
397,Anne Hathaway
398,Angelina Jolie
399,Melissa Leo
400,Meryl Streep
401,Sandra Bullock
402,Helen Mirren
403,Carey Mulligan
404,Gabourey Sidibe
405,Meryl Streep
406,Natalie Portman
407,Annette Bening
408,Nicole Kidman
409,Jennifer Lawrence
410,Michelle Williams
411,Meryl Streep
412,Glenn Close
413,Viola Davis
414,Rooney Mara
415,Michelle Williams
416,Jennifer Lawrence
417,Jessica Chastain
418,Emmanuelle Riva
419,Quvenzhané Wallis
420,Naomi Watts
421,Cate Blanchett
422,Amy Adams
423,Sandra Bullock
424,Judi Dench
425,Meryl Streep
426,Julianne Moore
427,Marion Cotillard
428,Felicity Jones
429,Rosamund Pike
430,Reese Witherspoon
431,Brie Larson
432,Cate Blanchett
433,Jennifer Lawrence
434,Charlotte Rampling
435,Saoirse Ronan
436,Emma Stone
437,Isabelle Huppert
438,Ruth Negga
439,Natalie Portman
440,Meryl Streep
441,Frances McDormand
442,Sally Hawkins
443,Margot Robbie
444,Saoirse Ronan
445,Meryl Streep
446,Olivia Colman
447,Yalitza Aparicio
448,Glenn Close
449,Lady Gaga
450,Melissa McCarthy
