,movie,year,genre,movie rating,director and casts,votes,duration,gross,detail
0,The King's Speech,(2010),"Biography, Drama, History",8,"Director:
Tom Hooper
| 
    Stars:
Colin Firth, 
Geoffrey Rush, 
Helena Bonham Carter, 
Derek Jacobi",601027,118 min,"$138.80M
","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
1,Inception,(2010),"Action, Adventure, Sci-Fi",8.8,"Director:
Christopher Nolan
| 
    Stars:
Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Ellen Page, 
Ken Watanabe",1875127,148 min,":
$292.58",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
2,The Social Network,(2010),"Biography, Drama",7.7,"Director:
David Fincher
| 
    Stars:
Jesse Eisenberg, 
Andrew Garfield, 
Justin Timberlake, 
Rooney Mara",576219,120 min,"$96.96M
","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business."
3,The Fighter,(I) (2010),"Biography, Drama, Sport",7.8,"Director:
David O. Russell
| 
    Stars:
Mark Wahlberg, 
Christian Bale, 
Amy Adams, 
Melissa Leo",319956,116 min,"$93.62M
","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
4,Toy Story 3,(2010),"Animation, Adventure, Comedy",8.3,"Director:
Lee Unkrich
| 
    Stars:
Tom Hanks, 
Tim Allen, 
Joan Cusack, 
Ned Beatty",700720,103 min,"$415.00M
","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
5,Alice in Wonderland,(I) (2010),"Adventure, Family, Fantasy",6.4,"Director:
Tim Burton
| 
    Stars:
Mia Wasikowska, 
Johnny Depp, 
Helena Bonham Carter, 
Anne Hathaway",363008,108 min,"$334.19M
","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
6,Black Swan,(2010),"Drama, Thriller",8,"Director:
Darren Aronofsky
| 
    Stars:
Natalie Portman, 
Mila Kunis, 
Vincent Cassel, 
Winona Ryder",657631,108 min,"$106.95M
","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
7,Hævnen,(2010),"Drama, Romance",7.6,"Director:
Susanne Bier
| 
    Stars:
Mikael Persbrandt, 
Trine Dyrholm, 
Markus Rygaard, 
Wil Johnson",36820,118 min,"1.01M
","The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait."
8,The Wolfman,(2010),"Drama, Fantasy, Horror",5.8,"Director:
Joe Johnston
| 
    Stars:
Benicio Del Toro, 
Anthony Hopkins, 
Emily Blunt, 
Simon Merrells",98888,103 min,"61.98M
","Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf."
9,Inside Job,(2010),"Documentary, Crime",8.2,"Director:
Charles Ferguson
| 
    Stars:
Matt Damon, 
Gylfi Zoega, 
Andri Snær Magnason, 
Sigridur Benediktsdottir",65969,109 min,"4.31M
",Takes a closer look at what brought about the 2008 financial meltdown.
10,The Hurt Locker,(2008),"Drama, Thriller, War",7.6,"Director:
Kathryn Bigelow
| 
    Stars:
Jeremy Renner, 
Anthony Mackie, 
Brian Geraghty, 
Guy Pearce",397344,131 min,"$17.02M
","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work."
11,Avatar,(2009),"Action, Adventure, Fantasy",7.8,"Director:
James Cameron
| 
    Stars:
Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez",1059732,162 min,":
$760.51",A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
12,Precious,(II) (2009),Drama,7.3,"Director:
Lee Daniels
| 
    Stars:
Gabourey Sidibe, 
Mo'Nique, 
Paula Patton, 
Mariah Carey",101044,110 min,"$47.40M
","In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction."
13,Up,(2009),"Animation, Adventure, Comedy",8.2,"Directors:
Pete Docter, 
Bob Peterson
| 
    Stars:
Edward Asner, 
Jordan Nagai, 
John Ratzenberger, 
Christopher Plummer",862174,96 min,"$293.00M
","Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway."
14,Crazy Heart,(2009),"Drama, Music, Romance",7.2,"Director:
Scott Cooper
| 
    Stars:
Jeff Bridges, 
Maggie Gyllenhaal, 
Colin Farrell, 
James Keane",80289,112 min,"39.46M
",A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.
15,Inglourious Basterds,(2009),"Adventure, Drama, War",8.3,"Director:
Quentin Tarantino
| 
    Stars:
Brad Pitt, 
Diane Kruger, 
Eli Roth, 
Mélanie Laurent",1150813,153 min,":
$120.54","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
16,Star Trek,(2009),"Action, Adventure, Sci-Fi",7.9,"Director:
J.J. Abrams
| 
    Stars:
Chris Pine, 
Zachary Quinto, 
Simon Pegg, 
Leonard Nimoy",560050,127 min,"$257.73M
",The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
17,The Young Victoria,(2009),"Biography, Drama, History",7.3,"Director:
Jean-Marc Vallée
| 
    Stars:
Emily Blunt, 
Rupert Friend, 
Paul Bettany, 
Miranda Richardson",54587,105 min,"11.00M
","A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert."
18,The Blind Side,(2009),"Biography, Drama, Sport",7.6,"Director:
John Lee Hancock
| 
    Stars:
Quinton Aaron, 
Sandra Bullock, 
Tim McGraw, 
Jae Head",271410,129 min,"$255.96M
","The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family."
19,El secreto de sus ojos,(2009),"Drama, Mystery, Romance",8.2,"Director:
Juan José Campanella
| 
    Stars:
Ricardo Darín, 
Soledad Villamil, 
Pablo Rago, 
Carla Quevedo",175995,129 min,"$6.39M
",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
20,The Cove,(2009),"Documentary, Crime",8.4,"Director:
Louie Psihoyos
| 
    Stars:
Richard O'Barry, 
Louie Psihoyos, 
Hardy Jones, 
Michael Illiff",45591,92 min,"0.87M
","Using state-of-the-art equipment, a group of activists, led by renowned dolphin trainer Ric O'Barry, infiltrate a cove near Taijii, Japan to expose both a shocking instance of animal abuse and a serious threat to human health."
21,Slumdog Millionaire,(2008),"Drama, Romance",8,"Directors:
Danny Boyle, 
Loveleen Tandan
| 
    Stars:
Dev Patel, 
Freida Pinto, 
Saurabh Shukla, 
Anil Kapoor",755401,120 min,"$141.32M
","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"""
22,The Curious Case of Benjamin Button,(2008),"Drama, Fantasy, Romance",7.8,"Director:
David Fincher
| 
    Stars:
Brad Pitt, 
Cate Blanchett, 
Tilda Swinton, 
Julia Ormond",547420,166 min,"$127.51M
","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences."
23,Milk,(I) (2008),"Biography, Drama",7.5,"Director:
Gus Van Sant
| 
    Stars:
Sean Penn, 
Josh Brolin, 
Emile Hirsch, 
Diego Luna",157306,128 min,"$31.84M
","The story of Harvey Milk, and his struggles as an American gay activist who fought for gay rights and became California's first openly gay elected official."
24,The Dark Knight,(2008),"Action, Crime, Drama",9,"Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine",2102307,152 min,":
$534.86","When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
25,WALL·E,(2008),"Animation, Adventure, Family",8.4,"Director:
Andrew Stanton
| 
    Stars:
Ben Burtt, 
Elissa Knight, 
Jeff Garlin, 
Fred Willard",923298,98 min,"$223.81M
","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
26,The Reader,(2008),"Drama, Romance",7.6,"Director:
Stephen Daldry
| 
    Stars:
Kate Winslet, 
Ralph Fiennes, 
Bruno Ganz, 
Jeanette Hain",219862,124 min,"$34.19M
","Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
27,The Duchess,(2008),"Biography, Drama, History",6.9,"Director:
Saul Dibb
| 
    Stars:
Keira Knightley, 
Ralph Fiennes, 
Dominic Cooper, 
Charlotte Rampling",73488,110 min,"13.82M
","A chronicle of the life of 18th-century aristocrat Georgiana, Duchess of Devonshire, who was reviled for her extravagant political and personal life."
28,Okuribito,(2008),"Drama, Music",8.1,"Director:
Yôjirô Takita
| 
    Stars:
Masahiro Motoki, 
Ryôko Hirosue, 
Tsutomu Yamazaki, 
Kazuko Yoshiyuki",45433,130 min,"1.50M
",A newly unemployed cellist takes a job preparing the dead for funerals.
29,Vicky Cristina Barcelona,(2008),"Comedy, Drama, Romance",7.1,"Director:
Woody Allen
| 
    Stars:
Rebecca Hall, 
Scarlett Johansson, 
Javier Bardem, 
Christopher Evan Welch",229975,96 min,"$23.22M
","Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
30,Man on Wire,(2008),"Documentary, Biography, History",7.7,"Director:
James Marsh
| 
    Stars:
Philippe Petit, 
Jean François Heckel, 
Jean-Louis Blondeau, 
Annie Allix",49875,94 min,"2.96M
","A look at tightrope walker Philippe Petit's daring, but illegal, high-wire routine performed between New York City's World Trade Center's twin towers in 1974, what some consider, ""the artistic crime of the century""."
31,No Country for Old Men,(2007),"Crime, Drama, Thriller",8.1,"Directors:
Ethan Coen, 
Joel Coen
| 
    Stars:
Tommy Lee Jones, 
Javier Bardem, 
Josh Brolin, 
Woody Harrelson",779974,122 min,"$74.28M
",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
32,The Bourne Ultimatum,(2007),"Action, Mystery, Thriller",8,"Director:
Paul Greengrass
| 
    Stars:
Matt Damon, 
Edgar Ramírez, 
Joan Allen, 
Julia Stiles",583515,115 min,"$227.47M
",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
33,There Will Be Blood,(2007),Drama,8.1,"Director:
Paul Thomas Anderson
| 
    Stars:
Daniel Day-Lewis, 
Paul Dano, 
Ciarán Hinds, 
Martin Stringer",471311,158 min,"$40.22M
","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
34,La môme,(2007),"Biography, Drama, Music",7.6,"Director:
Olivier Dahan
| 
    Stars:
Marion Cotillard, 
Sylvie Testud, 
Pascal Greggory, 
Emmanuelle Seigner",78270,140 min,"10.30M
","Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy."
35,Atonement,(2007),"Drama, Mystery, Romance",7.8,"Director:
Joe Wright
| 
    Stars:
Keira Knightley, 
James McAvoy, 
Brenda Blethyn, 
Saoirse Ronan",231355,123 min,"$50.93M
","Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit."
36,Michael Clayton,(2007),"Crime, Drama, Mystery",7.2,"Director:
Tony Gilroy
| 
    Stars:
George Clooney, 
Tilda Swinton, 
Tom Wilkinson, 
Michael O'Keefe",149805,119 min,"$49.03M
","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
37,Ratatouille,(2007),"Animation, Adventure, Comedy",8,"Directors:
Brad Bird, 
Jan Pinkava
| 
    Stars:
Brad Garrett, 
Lou Romano, 
Patton Oswalt, 
Ian Holm",590849,111 min,"$206.45M
",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
38,Juno,(2007),"Comedy, Drama",7.4,"Director:
Jason Reitman
| 
    Stars:
Ellen Page, 
Michael Cera, 
Jennifer Garner, 
Jason Bateman",470143,96 min,"$143.50M
","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child."
39,Sweeney Todd: The Demon Barber of Fleet Street,(2007),"Drama, Musical, Thriller",7.3,"Director:
Tim Burton
| 
    Stars:
Johnny Depp, 
Helena Bonham Carter, 
Alan Rickman, 
Timothy Spall",325943,116 min,"$52.90M
","The infamous story of Benjamin Barker, aka Sweeney Todd, who sets up a barber shop in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett."
40,The Golden Compass,(2007),"Adventure, Family, Fantasy",6.1,"Director:
Chris Weitz
| 
    Stars:
Nicole Kidman, 
Daniel Craig, 
Dakota Blue Richards, 
Ben Walker",169316,113 min,"$70.11M
","In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization."
