,films
0,Sorrell and Son
1,The Crowd
2,Two Arabian Knights
3,Speedy
4,The Divine Lady
5,Madame X
6,The Broadway Melody
7,In Old Arizona
8,Drag
9,Weary River
10,The Patriot
11,All Quiet on the Western Front
12,Anna Christie
13,Romance
14,The Divorcee
15,The Love Parade
16,Hallelujah!
17,Skippy
18,A Free Soul
19,The Front Page
20,Cimarron
21,Morocco
22,Bad Girl
23,The Champ
24,Shanghai Express
25,Cavalcade
26,Lady for a Day
27,Little Women
28,It Happened One Night
29,One Night of Love
30,The Thin Man
31,The Informer
32,The Lives of a Bengal Lancer
33,Mutiny on the Bounty
34,Mr. Deeds Goes to Town
35,My Man Godfrey
36,The Great Ziegfeld
37,San Francisco
38,Dodsworth
39,The Awful Truth
40,The Life of Emile Zola
41,The Good Earth
42,Stage Door
43,A Star Is Born
44,You Can't Take It with You
45,Angels with Dirty Faces
46,Four Daughters
47,Boys Town
48,The Citadel
49,Gone with the Wind
50,Mr. Smith Goes to Washington
51,Stagecoach
52,"Goodbye, Mr. Chips"
53,Wuthering Heights
54,The Grapes of Wrath
55,The Philadelphia Story
56,Rebecca
57,Kitty Foyle
58,The Letter
59,How Green Was My Valley
60,Here Comes Mr. Jordan
61,Sergeant York
62,Citizen Kane
63,The Little Foxes
64,Mrs. Miniver
65,Yankee Doodle Dandy
66,Wake Island
67,Random Harvest
68,Kings Row
69,Casablanca
70,The Human Comedy
71,The Song of Bernadette
72,Heaven Can Wait
73,The More the Merrier
74,Going My Way
75,Lifeboat
76,Wilson
77,Laura
78,Double Indemnity
79,The Lost Weekend
80,National Velvet
81,Spellbound
82,The Bells of St. Mary's
83,The Southerner
84,The Best Years of Our Lives
85,The Yearling
86,It's a Wonderful Life
87,Brief Encounter
88,The Killers
89,Gentleman's Agreement
90,A Double Life
91,Crossfire
92,The Bishop's Wife
93,Great Expectations
94,The Treasure of the Sierra Madre
95,The Snake Pit
96,Johnny Belinda
97,Hamlet
98,The Search
99,A Letter to Three Wives
100,The Fallen Idol
101,All the King's Men
102,Battleground
103,The Heiress
104,All About Eve
105,Born Yesterday
106,The Asphalt Jungle
107,The Third Man
108,Sunset Boulevard
109,A Place in the Sun
110,The African Queen
111,A Streetcar Named Desire
112,An American in Paris
113,Detective Story
114,The Quiet Man
115,The Greatest Show on Earth
116,Moulin Rouge
117,5 Fingers
118,High Noon
119,From Here to Eternity
120,Shane
121,Lili
122,Stalag 17
123,Roman Holiday
124,On the Waterfront
125,Rear Window
126,The Country Girl
127,The High and the Mighty
128,Sabrina
129,Marty
130,East of Eden
131,Summertime
132,Picnic
133,Bad Day at Black Rock
134,Giant
135,Around the World in 80 Days
136,The King and I
137,War and Peace
138,Friendly Persuasion
139,The Bridge on the River Kwai
140,Sayonara
141,12 Angry Men
142,Peyton Place
143,Witness for the Prosecution
144,Gigi
145,Cat on a Hot Tin Roof
146,The Defiant Ones
147,The Inn of the Sixth Happiness
148,I Want to Live!
149,Ben-Hur
150,Room at the Top
151,The Diary of Anne Frank
152,Some Like It Hot
153,The Nun's Story
154,The Apartment
155,Sons and Lovers
156,Never on Sunday
157,Psycho
158,The Sundowners
159,West Side Story
160,La Dolce Vita
161,Judgment at Nuremberg
162,The Hustler
163,The Guns of Navarone
164,Lawrence of Arabia
165,Divorce Italian Style
166,To Kill a Mockingbird
167,The Miracle Worker
168,David and Lisa
169,Tom Jones
170,8½
171,America America
172,The Cardinal
173,Hud
174,My Fair Lady
175,Zorba the Greek
176,Becket
177,Dr. Strangelove
178,Mary Poppins
179,The Sound of Music
180,Doctor Zhivago
181,Darling
182,Woman in the Dunes
183,The Collector
184,A Man for All Seasons
185,Blowup
186,The Professionals
187,A Man and a Woman
188,Who's Afraid of Virginia Woolf?
189,The Graduate
190,In Cold Blood
191,In the Heat of the Night
192,Guess Who's Coming to Dinner
193,Bonnie and Clyde
194,Oliver!
195,The Lion in Winter
196,2001: A Space Odyssey
197,The Battle of Algiers
198,Romeo and Juliet
199,Midnight Cowboy
200,Z
201,Butch Cassidy and the Sundance Kid
202,Alice's Restaurant
203,"They Shoot Horses, Don't They?"
204,Patton
205,M*A*S*H
206,Fellini Satyricon
207,Love Story
208,Women in Love
209,The French Connection
210,The Last Picture Show
211,Fiddler on the Roof
212,A Clockwork Orange
213,Sunday Bloody Sunday
214,Cabaret
215,Deliverance
216,The Godfather
217,Sleuth
218,The Emigrants
219,The Sting
220,Cries and Whispers
221,Last Tango in Paris
222,The Exorcist
223,American Graffiti
224,The Godfather Part II
225,A Woman Under the Influence
226,Lenny
227,Chinatown
228,Day for Night
229,One Flew Over the Cuckoo's Nest
230,Nashville
231,Amarcord
232,Barry Lyndon
233,Dog Day Afternoon
234,Rocky
235,Face to Face
236,Network
237,All the President's Men
238,Seven Beauties
239,Annie Hall
240,Star Wars
241,The Turning Point
242,Close Encounters of the Third Kind
243,Julia
244,The Deer Hunter
245,Interiors
246,Coming Home
247,Heaven Can Wait
248,Midnight Express
249,Kramer vs. Kramer
250,Apocalypse Now
251,All That Jazz
252,La Cage aux Folles
253,Breaking Away
254,Ordinary People
255,The Elephant Man
256,Tess
257,The Stunt Man
258,Raging Bull
259,Reds
260,Chariots of Fire
261,Atlantic City
262,On Golden Pond
263,Raiders of the Lost Ark
264,Gandhi
265,The Verdict
266,Das Boot
267,Tootsie
268,E.T. the Extra-Terrestrial
269,Terms of Endearment
270,Tender Mercies
271,Fanny and Alexander
272,Silkwood
273,The Dresser
274,Amadeus
275,Broadway Danny Rose
276,Places in the Heart
277,The Killing Fields
278,A Passage to India
279,Out of Africa
280,Kiss of the Spider Woman
281,Prizzi's Honor
282,Ran
283,Witness
284,Platoon
285,Hannah and Her Sisters
286,A Room with a View
287,The Mission
288,Blue Velvet
289,The Last Emperor
290,Hope and Glory
291,My Life as a Dog
292,Moonstruck
293,Fatal Attraction
294,Rain Man
295,A Fish Called Wanda
296,Working Girl
297,Mississippi Burning
298,The Last Temptation of Christ
299,Born on the Fourth of July
