,director
0,"1920s
"
1,"Frank Borzage (Dramatic Picture)
"
2,"Herbert Brenon (Dramatic Picture)
"
3,"King Vidor (Dramatic Picture)
"
4,"Lewis Milestone (Comedy Picture)
"
5,"Ted Wilde (Comedy Picture
"
6,"Frank Lloyd
"
7,"Lionel Barrymore
"
8,"Harry Beaumont
"
9,"Irving Cummings
"
10,"Frank Lloyd
"
11,"Weary River
"
12,"Ernst Lubitsch
"
13,"1930s
"
14,"Lewis Milestone
"
15,"Clarence Brown
"
16,"Romance
"
17,"Robert Z. Leonard
"
18,"Ernst Lubitsch
"
19,"King Vidor
"
20,"Norman Taurog
"
21,"Clarence Brown
"
22,"Lewis Milestone
"
23,"Wesley Ruggles
"
24,"Josef von Sternberg
"
25,"Frank Borzage
"
26,"King Vidor
"
27,"Josef von Sternberg
"
28,"Frank Lloyd
"
29,"Frank Capra
"
30,"George Cukor
"
31,"Frank Capra
"
32,"Victor Schertzinger
"
33,"W. S. Van Dyke
"
34,"John Ford
"
35,"Henry Hathaway
"
36,"Frank Lloyd
"
37,"Frank Capra
"
38,"Gregory La Cava
"
39,"Robert Z. Leonard
"
40,"W. S. Van Dyke
"
41,"William Wyler
"
42,"Leo McCarey
"
43,"William Dieterle
"
44,"Sidney Franklin
"
45,"Gregory La Cava
"
46,"William A. Wellman
"
47,"Frank Capra
"
48,"Michael Curtiz
"
49,"Four Daughters
"
50,"Norman Taurog
"
51,"King Vidor
"
52,"Victor Fleming
"
53,"Frank Capra
"
54,"John Ford
"
55,"Sam Wood
"
56,"William Wyler
"
57,"1940s
"
58,"John Ford
"
59,"George Cukor
"
60,"Alfred Hitchcock
"
61,"Sam Wood
"
62,"William Wyler
"
63,"John Ford
"
64,"Alexander Hall
"
65,"Howard Hawks
"
66,"Orson Welles
"
67,"William Wyler
"
68,"William Wyler
"
69,"Michael Curtiz
"
70,"John Farrow
"
71,"Mervyn LeRoy
"
72,"Sam Wood
"
73,"Michael Curtiz
"
74,"Clarence Brown
"
75,"Henry King
"
76,"Ernst Lubitsch
"
77,"George Stevens
"
78,"Leo McCarey
"
79,"Alfred Hitchcock
"
80,"Henry King
"
81,"Otto Preminger
"
82,"Billy Wilder
"
83,"Billy Wilder
"
84,"Clarence Brown
"
85,"Alfred Hitchcock
"
86,"Leo McCarey
"
87,"Jean Renoir
"
88,"William Wyler
"
89,"Clarence Brown
"
90,"Frank Capra
"
91,"David Lean
"
92,"Robert Siodmak
"
93,"Elia Kazan
"
94,"George Cukor
"
95,"Edward Dmytryk
"
96,"Henry Koster
"
97,"David Lean
"
98,"John Huston
"
99,"Anatole Litvak
"
100,"Jean Negulesco
"
101,"Laurence Olivier
"
102,"Fred Zinnemann
"
103,"Joseph L. Mankiewicz
"
104,"Carol Reed
"
105,"Robert Rossen
"
106,"William A. Wellman
"
107,"William Wyler
"
108,"1950s
"
109,"Joseph L. Mankiewicz
"
110,"George Cukor
"
111,"John Huston
"
112,"Carol Reed
"
113,"Billy Wilder
"
114,"George Stevens
"
115,"John Huston
"
116,"Elia Kazan
"
117,"Vincente Minnelli
"
118,"William Wyler
"
119,"John Ford
"
120,"Cecil B. DeMille
"
121,"John Huston
"
122,"Joseph L. Mankiewicz
"
123,"Fred Zinnemann
"
124,"Fred Zinnemann
"
125,"George Stevens
"
126,"Charles Walters
"
127,"Billy Wilder
"
128,"William Wyler
"
129,"Elia Kazan
"
130,"Alfred Hitchcock
"
131,"George Seaton
"
132,"William A. Wellman
"
133,"Billy Wilder
"
134,"Delbert Mann
"
135,"Elia Kazan
"
136,"David Lean
"
137,"Joshua Logan
"
138,"John Sturges
"
139,"George Stevens
"
140,"Michael Anderson
"
141,"Walter Lang
"
142,"King Vidor
"
143,"William Wyler
"
144,"David Lean
"
145,"Joshua Logan
"
146,"Sidney Lumet
"
147,"Mark Robson
"
148,"Billy Wilder
"
149,"Vincente Minnelli
"
150,"Richard Brooks
"
151,"Stanley Kramer
"
152,"Mark Robson
"
153,"Robert Wise
"
154,"William Wyler
"
155,"Jack Clayton
"
156,"George Stevens
"
157,"Billy Wilder
"
158,"Fred Zinnemann
"
159,"1960s
"
160,"Billy Wilder
"
161,"Jack Cardiff
"
162,"Jules Dassin
"
163,"Alfred Hitchcock
"
164,"Fred Zinnemann
"
165,"Robert Wise & Jerome Robbins
"
166,"Federico Fellini
"
167,"Stanley Kramer
"
168,"Robert Rossen
"
169,"J. Lee Thompson
"
170,"David Lean
"
171,"Pietro Germi
"
172,"Robert Mulligan
"
173,"Arthur Penn
"
174,"Frank Perry
"
175,"Tony Richardson
"
