,movie,year,genre,movie rating,director and casts,metascore,votes,duration,gross
0,Green Book,2018,"Biography, Comedy, Drama",8.2,"Director:
Peter Farrelly
| 
    Stars:
Viggo Mortensen, 
Mahershala Ali, 
Linda Cardellini, 
Sebastian Maniscalco",69,243182,130 min,"$85.08M
"
1,The Shape of Water,2017,"Adventure, Drama, Fantasy",7.3,"Director:
Guillermo del Toro
| 
    Stars:
Sally Hawkins, 
Octavia Spencer, 
Michael Shannon, 
Doug Jones",87,320894,123 min,"$63.86M
"
2,Moonlight,2016,Drama,7.4,"Director:
Barry Jenkins
| 
    Stars:
Mahershala Ali, 
Naomie Harris, 
Trevante Rhodes, 
Alex R. Hibbert",99,235306,111 min,"$27.85M
"
3,Spotlight,2015,"Biography, Crime, Drama",8.1,"Director:
Tom McCarthy
| 
    Stars:
Mark Ruffalo, 
Michael Keaton, 
Rachel McAdams, 
Liev Schreiber",93,374295,129 min,"$45.06M
"
4,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",7.7,"Director:
Alejandro G. Iñárritu
| 
    Stars:
Michael Keaton, 
Zach Galifianakis, 
Edward Norton, 
Andrea Riseborough",87,529459,119 min,"$42.34M
"
5,12 Years a Slave,2013,"Biography, Drama, History",8.1,"Director:
Steve McQueen
| 
    Stars:
Chiwetel Ejiofor, 
Michael Kenneth Williams, 
Michael Fassbender, 
Brad Pitt",96,586929,134 min,"$56.67M
"
6,Argo,2012,"Biography, Drama, Thriller",7.7,"Director:
Ben Affleck
| 
    Stars:
Ben Affleck, 
Bryan Cranston, 
John Goodman, 
Alan Arkin",86,541052,120 min,"$136.03M
"
7,The Artist,2011,"Comedy, Drama, Romance",7.9,"Director:
Michel Hazanavicius
| 
    Stars:
Jean Dujardin, 
Bérénice Bejo, 
John Goodman, 
James Cromwell",89,218970,100 min,"$44.67M
"
8,The King's Speech,2010,"Biography, Drama, History",8.0,"Director:
Tom Hooper
| 
    Stars:
Colin Firth, 
Geoffrey Rush, 
Helena Bonham Carter, 
Derek Jacobi",88,601038,118 min,"$138.80M
"
9,Slumdog Millionaire,2008,"Drama, Romance",8.0,"Directors:
Danny Boyle, 
Loveleen Tandan
| 
    Stars:
Dev Patel, 
Freida Pinto, 
Saurabh Shukla, 
Anil Kapoor",86,755408,120 min,"$141.32M
"
10,The Hurt Locker,2008,"Drama, Thriller, War",7.6,"Director:
Kathryn Bigelow
| 
    Stars:
Jeremy Renner, 
Anthony Mackie, 
Brian Geraghty, 
Guy Pearce",94,397350,131 min,"$17.02M
"
11,No Country for Old Men,2007,"Crime, Drama, Thriller",8.1,"Directors:
Ethan Coen, 
Joel Coen
| 
    Stars:
Tommy Lee Jones, 
Javier Bardem, 
Josh Brolin, 
Woody Harrelson",91,779984,122 min,"$74.28M
"
12,The Departed,2006,"Crime, Drama, Thriller",8.5,"Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg",85,1094647,151 min,":
$132.38"
13,Million Dollar Baby,2004,"Drama, Sport",8.1,"Director:
Clint Eastwood
| 
    Stars:
Hilary Swank, 
Clint Eastwood, 
Morgan Freeman, 
Jay Baruchel",86,593986,132 min,"$100.49M
"
14,Crash,2004,"Crime, Drama, Thriller",7.8,"Director:
Paul Haggis
| 
    Stars:
Don Cheadle, 
Sandra Bullock, 
Thandie Newton, 
Karina Arroyave",69,403500,112 min,"$54.58M
"
15,The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy",8.9,"Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom",94,1520308,201 min,":
$377.85"
16,Chicago,2002,"Comedy, Crime, Musical",7.1,"Director:
Rob Marshall
| 
    Stars:
Renée Zellweger, 
Catherine Zeta-Jones, 
Richard Gere, 
Taye Diggs",82,203470,113 min,"$170.69M
"
17,A Beautiful Mind,2001,"Biography, Drama",8.2,"Director:
Ron Howard
| 
    Stars:
Russell Crowe, 
Ed Harris, 
Jennifer Connelly, 
Christopher Plummer",72,783527,135 min,"$170.74M
"
18,Gladiator,2000,"Action, Adventure, Drama",8.5,"Director:
Ridley Scott
| 
    Stars:
Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed",67,1234165,155 min,":
$187.71"
19,American Beauty,1999,Drama,8.3,"Director:
Sam Mendes
| 
    Stars:
Kevin Spacey, 
Annette Bening, 
Thora Birch, 
Wes Bentley",86,1002873,122 min,":
$130.10"
20,Shakespeare in Love,1998,"Comedy, Drama, History",7.1,"Director:
John Madden
| 
    Stars:
Gwyneth Paltrow, 
Joseph Fiennes, 
Geoffrey Rush, 
Tom Wilkinson",87,203281,123 min,"$100.32M
"
21,Titanic,1997,"Drama, Romance",7.8,"Director:
James Cameron
| 
    Stars:
Leonardo DiCaprio, 
Kate Winslet, 
Billy Zane, 
Kathy Bates",75,973448,194 min,"$659.33M
"
22,The English Patient,1996,"Drama, Romance, War",7.4,"Director:
Anthony Minghella
| 
    Stars:
Ralph Fiennes, 
Juliette Binoche, 
Willem Dafoe, 
Kristin Scott Thomas",87,167852,162 min,"$78.65M
"
23,Braveheart,1995,"Biography, Drama, History",8.3,"Director:
Mel Gibson
| 
    Stars:
Mel Gibson, 
Sophie Marceau, 
Patrick McGoohan, 
Angus Macfadyen",68,902976,178 min,"$75.60M
"
24,Forrest Gump,1994,"Drama, Romance",8.8,"Director:
Robert Zemeckis
| 
    Stars:
Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field",82,1645627,142 min,":
$330.25"
25,Schindler's List,1993,"Biography, Drama, History",8.9,"Director:
Steven Spielberg
| 
    Stars:
Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall",94,1109676,195 min,":
$96.90M"
26,Unforgiven,1992,"Drama, Western",8.2,"Director:
Clint Eastwood
| 
    Stars:
Clint Eastwood, 
Gene Hackman, 
Morgan Freeman, 
Richard Harris",85,347085,130 min,"$101.16M
"
